student_id,hours_studied,lms_activity_hours,attendance_percent,previous_scores,exam_score,risk_category
S00001,2.9,31.2,50.3,92,65,Требует внимания
S00002,2.1,4.0,55.2,70,39,В зоне риска
S00003,5.1,27.8,52.0,47,44,В зоне риска
S00004,9.7,23.4,68.2,95,40,В зоне риска
S00005,5.6,30.8,55.5,93,79,Успешный студент
S00006,11.1,27.3,76.1,66,51,Требует внимания
S00007,1.4,22.7,87.4,80,50,Требует внимания
S00008,5.0,26.0,93.6,65,76,Успешный студент
S00009,7.8,27.5,87.8,67,48,В зоне риска
S00010,4.3,13.4,71.5,54,53,Требует внимания
S00011,8.1,12.4,55.5,67,58,Требует внимания
S00012,8.9,27.6,79.6,82,53,Требует внимания
S00013,4.6,19.6,67.8,95,49,В зоне риска
S00014,4.9,30.3,81.5,53,22,В зоне риска
S00015,1.8,16.6,72.2,53,63,Требует внимания
S00016,7.7,26.6,60.6,95,72,Требует внимания
S00017,2.0,23.1,55.6,82,32,В зоне риска
S00018,2.5,5.8,52.7,56,47,В зоне риска
S00019,2.0,11.0,56.3,55,14,В зоне риска
S00020,6.3,26.4,93.0,95,24,В зоне риска
S00021,2.0,8.4,82.5,74,41,В зоне риска
S00022,7.3,18.1,50.3,95,52,Требует внимания
S00023,9.0,31.0,59.3,67,38,В зоне риска
S00024,2.3,15.6,54.4,71,63,Требует внимания
S00025,2.5,27.6,91.4,44,22,В зоне риска
S00026,4.8,8.0,64.6,93,55,Требует внимания
S00027,1.8,21.4,78.8,95,56,Требует внимания
S00028,7.6,23.6,80.1,95,51,Требует внимания
S00029,2.1,17.3,82.5,61,34,В зоне риска
S00030,2.2,8.5,86.0,58,44,В зоне риска
S00031,6.0,8.2,66.8,68,43,В зоне риска
S00032,3.3,14.8,50.3,95,49,В зоне риска
S00033,3.2,23.2,54.9,95,73,Требует внимания
S00034,4.5,15.6,97.4,95,45,В зоне риска
S00035,1.4,4.5,93.9,68,25,В зоне риска
S00036,5.4,13.1,93.7,65,43,В зоне риска
S00037,3.1,15.9,84.3,46,30,В зоне риска
