iter	Passed	Remaining
0	3	1900
1	7	1870
2	11	1856
3	14	1819
4	17	1777
5	20	1706
6	23	1687
7	26	1637
8	29	1600
9	31	1565
10	34	1539
11	36	1502
12	39	1490
13	43	1497
14	46	1506
15	49	1493
16	52	1490
17	56	1500
18	59	1506
19	62	1505
20	65	1489
21	68	1480
22	72	1493
23	74	1487
24	77	1479
25	80	1473
26	84	1473
27	87	1470
28	90	1467
29	93	1468
30	96	1465
31	100	1464
32	103	1470
33	108	1480
34	111	1475
35	114	1475
36	117	1470
37	121	1471
38	124	1468
39	127	1465
40	130	1464
41	134	1468
42	139	1478
43	142	1477
44	145	1475
45	148	1461
46	151	1460
47	155	1462
48	158	1461
49	161	1457
50	165	1454
51	168	1453
52	171	1450
53	175	1445
54	177	1439
55	181	1436
56	184	1431
57	187	1428
58	190	1421
59	192	1415
60	195	1410
61	198	1404
62	202	1403
63	206	1404
64	209	1402
65	212	1397
66	215	1394
67	219	1396
68	222	1390
69	225	1384
70	228	1381
71	231	1377
72	235	1376
73	238	1373
74	241	1368
75	244	1364
76	247	1361
77	251	1359
78	254	1355
79	257	1350
80	259	1344
81	262	1338
82	265	1334
83	269	1332
84	271	1327
85	274	1320
86	276	1314
87	279	1309
88	282	1305
89	285	1302
90	288	1297
91	291	1293
92	294	1288
93	297	1284
94	300	1282
95	303	1276
96	306	1274
97	309	1269
98	312	1263
99	315	1260
100	317	1255
101	320	1250
102	323	1246
103	326	1241
104	328	1236
105	331	1232
106	334	1228
107	337	1224
108	340	1220
109	343	1216
110	346	1213
111	349	1209
112	351	1205
113	354	1200
114	357	1196
115	360	1192
116	363	1190
117	366	1187
118	369	1183
119	372	1179
120	375	1174
121	377	1170
122	380	1167
123	383	1163
124	386	1159
125	389	1155
126	391	1150
127	394	1146
128	397	1144
129	400	1140
130	403	1136
131	406	1133
132	409	1129
133	412	1126
134	415	1123
135	418	1120
136	421	1116
137	424	1113
138	427	1110
139	430	1107
140	433	1103
141	436	1100
142	439	1096
143	441	1092
144	445	1089
145	448	1086
146	451	1083
147	453	1079
148	456	1075
149	459	1073
150	463	1070
151	465	1066
152	468	1062
153	471	1058
154	474	1055
155	477	1053
156	480	1049
157	483	1046
158	486	1043
159	489	1039
160	492	1037
161	495	1034
162	498	1030
163	501	1026
164	504	1023
165	506	1020
166	509	1016
167	513	1014
168	515	1010
169	518	1007
170	521	1003
171	524	999
172	527	996
173	529	992
174	532	989
175	535	985
176	538	982
177	541	979
178	544	975
179	547	972
180	550	969
181	553	966
182	556	963
183	559	960
184	562	957
185	565	954
186	567	950
187	571	947
188	574	945
189	578	943
190	581	940
191	584	937
192	587	934
193	590	931
194	593	928
195	596	925
196	599	921
197	602	918
198	605	916
199	609	914
200	612	911
201	615	908
202	619	905
203	622	903
204	626	901
205	629	898
206	632	895
207	636	893
208	640	891
209	643	888
210	647	886
211	651	884
212	654	882
213	658	879
214	661	877
215	665	874
216	668	871
217	672	870
218	675	867
219	679	864
220	682	861
221	685	858
222	689	856
223	692	853
224	696	850
225	699	848
226	703	846
227	707	843
228	710	840
229	713	837
230	716	833
231	720	831
232	723	829
233	726	825
234	729	822
235	732	819
236	735	816
237	739	813
238	741	810
239	744	806
240	747	803
241	751	800
242	754	798
243	758	795
244	761	792
245	764	789
246	768	786
247	771	783
248	774	780
249	777	777
250	780	774
251	784	771
252	787	768
253	790	765
254	793	762
255	796	759
256	800	757
257	803	754
258	806	750
259	810	747
260	812	744
261	816	741
262	819	738
263	822	735
264	826	733
265	829	729
266	833	727
267	836	723
268	839	720
269	842	717
270	845	714
271	848	711
272	851	707
273	854	704
274	857	701
275	860	698
276	863	695
277	867	692
278	870	689
279	873	686
280	877	683
281	880	680
282	883	677
283	886	674
284	889	671
285	892	667
286	895	664
287	898	661
288	901	658
289	905	655
290	907	652
291	911	649
292	914	646
293	917	643
294	920	639
295	924	636
296	927	634
297	931	631
298	934	627
299	937	624
300	940	621
301	943	618
302	946	615
303	949	612
304	952	608
305	955	605
306	958	602
307	961	599
308	964	596
309	966	592
310	970	589
311	973	586
312	976	583
313	979	580
314	983	577
315	986	574
316	989	571
317	992	567
318	995	564
319	998	561
320	1001	558
321	1004	555
322	1007	552
323	1011	549
324	1014	546
325	1017	543
326	1020	540
327	1023	536
328	1026	533
329	1030	530
330	1033	527
331	1036	524
332	1038	521
333	1042	517
334	1045	514
335	1048	511
336	1051	508
337	1054	505
338	1057	502
339	1060	499
340	1063	496
341	1066	492
342	1069	489
343	1072	486
344	1075	483
345	1079	480
346	1082	477
347	1085	474
348	1088	470
349	1091	467
350	1094	464
351	1097	461
352	1100	458
353	1103	455
354	1106	452
355	1109	448
356	1113	445
357	1116	442
358	1119	439
359	1122	436
360	1125	433
361	1128	430
362	1131	427
363	1134	423
364	1136	420
365	1139	417
366	1142	414
367	1145	411
368	1148	407
369	1151	404
370	1154	401
371	1156	397
372	1159	394
373	1162	391
374	1165	388
375	1167	385
376	1170	381
377	1173	378
378	1176	375
379	1179	372
380	1182	369
381	1184	366
382	1188	362
383	1191	359
384	1193	356
385	1196	353
386	1199	350
387	1202	347
388	1205	344
389	1208	340
390	1211	337
391	1214	334
392	1217	331
393	1219	328
394	1222	325
395	1226	321
396	1229	318
397	1232	315
398	1236	312
399	1239	309
400	1242	306
401	1245	303
402	1248	300
403	1251	297
404	1254	294
405	1258	291
406	1260	288
407	1263	284
408	1266	281
409	1269	278
410	1272	275
411	1275	272
412	1278	269
413	1281	266
414	1284	263
415	1287	259
416	1290	256
417	1293	253
418	1295	250
419	1298	247
420	1301	244
421	1304	241
422	1307	238
423	1310	234
424	1313	231
425	1316	228
426	1319	225
427	1322	222
428	1325	219
429	1328	216
430	1331	213
431	1335	210
432	1338	207
433	1341	204
434	1345	200
435	1348	197
436	1352	194
437	1355	191
438	1358	188
439	1361	185
440	1363	182
441	1367	179
442	1371	176
443	1374	173
444	1377	170
445	1380	167
446	1383	164
447	1386	160
448	1389	157
449	1393	154
450	1396	151
451	1399	148
452	1402	145
453	1404	142
454	1407	139
455	1410	136
456	1413	133
457	1416	129
458	1419	126
459	1423	123
460	1426	120
461	1429	117
462	1432	114
463	1435	111
464	1438	108
465	1441	105
466	1444	102
467	1447	98
468	1450	95
469	1453	92
470	1456	89
471	1458	86
472	1461	83
473	1464	80
474	1467	77
475	1470	74
476	1473	71
477	1476	67
478	1480	64
479	1483	61
480	1486	58
481	1489	55
482	1492	52
483	1495	49
484	1498	46
485	1502	43
486	1505	40
487	1508	37
488	1511	33
489	1514	30
490	1516	27
491	1519	24
492	1522	21
493	1526	18
494	1529	15
495	1532	12
496	1535	9
497	1538	6
498	1541	3
499	1544	0
