hours_studied,lms_activity_hours,attendance_percent,previous_scores,exam_score,risk_category,risk_level
6.7,28.6,82.5,59,25,В зоне риска,0
4.1,8.0,93.6,95,69,Требует внимания,1
10.2,20.1,80.9,53,69,Требует внимания,1
8.9,14.1,50.3,92,69,Требует внимания,1
7.3,26.1,70.1,72,63,Требует внимания,1
8.8,22.1,50.3,87,50,Требует внимания,1
7.8,8.4,79.9,95,41,В зоне риска,0
2.7,20.9,50.3,95,57,Требует внимания,1
6.5,14.7,68.1,73,72,Требует внимания,1
7.6,23.6,89.9,95,37,В зоне риска,0
6.9,26.3,84.6,70,44,В зоне риска,0
9.1,22.7,76.7,90,66,Требует внимания,1
3.1,21.4,50.3,95,64,Требует внимания,1
5.9,16.0,89.4,48,36,В зоне риска,0
12.0,15.9,58.4,56,84,Успешный студент,2
1.8,31.5,80.2,87,48,В зоне риска,0
1.5,21.7,50.3,70,87,Успешный студент,2
4.4,26.6,50.3,70,43,В зоне риска,0
9.0,16.5,74.2,74,41,В зоне риска,0
8.3,20.8,91.1,65,43,В зоне риска,0
1.0,26.9,86.2,95,49,В зоне риска,0
3.8,18.4,50.3,66,12,В зоне риска,0
7.6,21.6,67.2,71,50,Требует внимания,1
2.1,17.0,77.7,86,52,Требует внимания,1
11.4,24.1,50.3,95,52,Требует внимания,1
9.3,13.8,64.5,52,63,Требует внимания,1
1.6,14.1,89.6,66,80,Успешный студент,2
4.6,10.2,94.2,81,42,В зоне риска,0
1.0,21.0,57.2,94,40,В зоне риска,0
6.4,21.8,70.6,95,77,Успешный студент,2
1.0,7.1,54.1,72,40,В зоне риска,0
9.6,17.6,50.3,82,75,Успешный студент,2
12.0,28.3,97.7,95,64,Требует внимания,1
3.5,19.7,53.2,55,70,Требует внимания,1
1.0,17.2,99.1,80,85,Успешный студент,2
5.2,7.6,66.2,86,25,В зоне риска,0
9.3,7.3,68.7,76,22,В зоне риска,0
9.3,20.7,83.5,88,30,В зоне риска,0
9.9,25.9,88.7,74,36,В зоне риска,0
9.2,20.6,69.3,95,14,В зоне риска,0
3.6,5.6,86.6,53,75,Успешный студент,2
10.2,13.4,75.3,86,73,Требует внимания,1
4.2,26.8,54.9,63,37,В зоне риска,0
5.6,2.1,85.9,58,50,Требует внимания,1
2.7,5.1,79.2,73,69,Требует внимания,1
3.8,29.1,70.3,74,60,Требует внимания,1
4.5,13.6,61.4,76,12,В зоне риска,0
5.6,22.5,52.6,83,68,Требует внимания,1
6.6,20.5,83.3,58,74,Требует внимания,1
4.8,15.2,57.0,65,90,Успешный студент,2
7.7,23.4,74.4,95,88,Успешный студент,2
3.9,25.9,68.3,95,19,В зоне риска,0
4.4,13.1,90.4,62,70,Требует внимания,1
3.8,26.3,89.1,75,65,Требует внимания,1
2.3,25.5,69.0,93,41,В зоне риска,0
5.4,26.5,77.6,90,57,Требует внимания,1
4.9,18.0,74.0,77,55,Требует внимания,1
7.7,27.3,51.6,95,52,Требует внимания,1
1.0,19.8,68.3,43,55,Требует внимания,1
11.8,11.9,98.1,84,60,Требует внимания,1
10.7,16.3,67.7,91,52,Требует внимания,1
12.0,6.8,62.2,93,49,В зоне риска,0
7.1,11.4,83.2,68,49,В зоне риска,0
1.0,13.9,76.1,86,45,В зоне риска,0
6.5,15.1,80.8,89,67,Требует внимания,1
9.1,19.5,93.8,90,62,Требует внимания,1
4.3,10.4,85.7,95,48,В зоне риска,0
9.6,4.6,92.4,66,64,Требует внимания,1
1.0,30.5,57.0,95,58,Требует внимания,1
1.6,5.7,59.3,95,37,В зоне риска,0
9.1,22.8,65.4,80,83,Успешный студент,2
3.1,23.9,91.8,66,58,Требует внимания,1
6.9,13.2,50.3,91,78,Успешный студент,2
1.6,13.9,94.9,55,47,В зоне риска,0
1.5,17.4,51.3,79,39,В зоне риска,0
3.3,22.4,100.0,88,75,Успешный студент,2
8.4,29.7,62.0,59,25,В зоне риска,0
9.7,11.5,65.3,95,46,В зоне риска,0
5.8,14.2,76.1,86,64,Требует внимания,1
1.0,19.4,69.1,85,32,В зоне риска,0
7.0,16.0,64.9,85,44,В зоне риска,0
9.8,22.8,74.9,81,52,Требует внимания,1
